CAR,STEP,TIME,LEADER_AND_DISTANCE,DRIVING_DISTANCE,WIFI_SIGNAL_STRENGTH,MESH_SIGNAL_STRENGTH,DATAGRAM_COUNT,BYTES_COUNT,WIFI_DATAGRAM,MESH_DATAGRAM
car1,1,0.1,"(None, None)",None,-76.0,,0,0,[],[]
car1,2,0.2,"(None, None)",0.0259999999999998,-76.0,,0,0,[],[]
car1,3,0.3,"(None, None)",0.0779999999999994,-76.0,,0,0,[],[]
car1,4,0.4,"(None, None)",0.1559999999999997,-76.0,,0,0,[],[]
car1,5,0.5,"(None, None)",0.2599999999999998,-76.0,,0,0,[],[]
car1,6,0.6,"(None, None)",0.3899999999999997,-76.0,,0,0,[],[]
car1,7,0.7,"(None, None)",0.5459999999999994,-76.0,,0,0,[],[]
car1,8,0.8,"(None, None)",0.7279999999999998,-76.0,,0,0,[],[]
car1,9,0.9,"(None, None)",0.9359999999999999,-76.0,,0,0,[],[]
car1,10,1.0,"(None, None)",1.17,-76.0,,0,0,[],[]
car1,11,1.1,"(None, None)",1.4299999999999997,-76.0,,0,0,[],[]
car1,12,1.2,"(None, None)",1.7159999999999993,-76.0,,0,0,[],[]
car1,13,1.3,"(None, None)",2.0279999999999996,-76.0,,0,0,[],[]
car1,14,1.4,"(None, None)",2.3659999999999997,-76.0,,0,0,[],[]
car1,15,1.5,"(None, None)",2.7299999999999995,-76.0,,0,0,[],[]
car1,16,1.6,"(None, None)",3.119999999999999,-76.0,,0,0,[],[]
car1,17,1.7,"(None, None)",3.5359999999999996,-76.0,,0,0,[],[]
car1,18,1.8,"(None, None)",3.9779999999999998,-76.0,,0,0,[],[]
car1,19,1.9,"(None, None)",4.446,-75.0,,0,0,[],[]
car1,20,2.0,"(None, None)",4.9399999999999995,-75.0,,0,0,[],[]
car1,21,2.1,"(None, None)",5.459999999999999,-75.0,,0,0,[],[]
car1,22,2.2,"(None, None)",6.0059999999999985,-75.0,,0,0,[],[]
car1,23,2.3,"(None, None)",6.577999999999998,-75.0,,0,0,[],[]
car1,24,2.4,"(None, None)",7.175999999999997,-75.0,,0,0,[],[]
car1,25,2.5,"(None, None)",7.799999999999995,-75.0,,0,0,[],[]
car1,26,2.6,"(None, None)",8.449999999999996,-75.0,,0,0,[],[]
car1,27,2.7,"(None, None)",9.125999999999996,-75.0,,0,0,[],[]
car1,28,2.8,"(None, None)",9.827999999999996,-74.0,,0,0,[],[]
car1,29,2.9,"(None, None)",10.555999999999996,-74.0,,0,0,[],[]
car1,30,3.0,"(None, None)",11.309999999999997,-74.0,,0,0,[],[]
car1,31,3.1,"(None, None)",12.089999999999998,-74.0,,0,0,[],[]
car1,32,3.2,"(None, None)",12.895999999999999,-74.0,,0,0,[],[]
car1,33,3.3,"(None, None)",13.728,-74.0,,0,0,[],[]
car1,34,3.4,"(None, None)",14.586,-73.0,,0,0,[],[]
car1,35,3.5,"(None, None)",15.47,-73.0,,0,0,[],[]
car1,36,3.6,"(None, None)",16.380000000000003,-73.0,,0,0,[],[]
car1,37,3.7,"(None, None)",17.316000000000003,-73.0,,0,0,[],[]
car1,38,3.8,"(None, None)",18.278,-73.0,,0,0,[],[]
car1,39,3.9,"(None, None)",19.266,-72.0,,0,0,[],[]
car1,40,4.0,"(None, None)",20.28,-72.0,,0,0,[],[]
car1,41,4.1,"(None, None)",21.32,-72.0,,0,0,[],[]
car1,42,4.2,"(None, None)",22.385999999999996,-72.0,,0,0,[],[]
car1,43,4.3,"(None, None)",23.477999999999994,-71.0,,0,0,[],[]
car1,44,4.4,"(None, None)",24.595999999999997,-71.0,,0,0,[],[]
car1,45,4.5,"(None, None)",25.739999999999995,-71.0,,0,0,[],[]
car1,46,4.6,"(None, None)",26.90999999999999,-71.0,,0,0,[],[]
car1,47,4.7,"(None, None)",28.105999999999987,-70.0,,0,0,[],[]
car1,48,4.8,"(None, None)",29.32799999999999,-70.0,,0,0,[],[]
car1,49,4.9,"(None, None)",30.575999999999986,-70.0,,0,0,[],[]
car1,50,5.0,"(None, None)",31.849999999999987,-69.0,,0,0,[],[]
car1,51,5.1,"(None, None)",33.149999999999984,-69.0,,0,0,[],[]
car1,52,5.2,"(None, None)",34.453306870121615,-69.0,,0,0,[],[]
car1,53,5.3,"(None, None)",35.756613740243246,-68.0,,0,0,[],[]
car1,54,5.4,"(None, None)",37.05992061036488,-68.0,,0,0,[],[]
car1,55,5.5,"(None, None)",38.36322748048651,-68.0,,0,0,[],[]
car1,56,5.6,"(None, None)",39.66653435060814,-67.0,,0,0,[],[]
car1,57,5.7,"(None, None)",40.96984122072977,-67.0,,0,0,[],[]
car1,58,5.8,"(None, None)",42.2731480908514,-67.0,,0,0,[],[]
car1,59,5.9,"(None, None)",43.57645496097303,-66.0,,0,0,[],[]
car1,60,6.0,"(None, None)",44.87976183109466,-66.0,,0,0,[],[]
car1,61,6.1,"(None, None)",46.18306870121629,-65.0,,0,0,[],[]
car1,62,6.2,"(None, None)",47.48637557133792,-65.0,,0,0,[],[]
car1,63,6.3,"(None, None)",48.78968244145955,-64.0,,0,0,[],[]
car1,64,6.4,"(None, None)",50.09298931158118,-64.0,,0,0,[],[]
car1,65,6.5,"(None, None)",51.39629618170281,-64.0,,0,0,[],[]
car1,66,6.6,"(None, None)",52.69960305182443,-63.0,,0,0,[],[]
car1,67,6.7,"(None, None)",54.002909921946056,-63.0,,0,0,[],[]
car1,68,6.8,"(None, None)",55.30621679206769,-63.0,,0,0,[],[]
car1,69,6.9,"(None, None)",56.60952366218932,-62.0,,0,0,[],[]
car1,70,7.0,"(None, None)",57.91283053231094,-62.0,,0,0,[],[]
car1,71,7.1,"(None, None)",59.216137402432565,-61.0,,0,0,[],[]
car1,72,7.2,"(None, None)",60.519444272554196,-61.0,,0,0,[],[]
car1,73,7.3,"(None, None)",61.82275114267583,-60.0,,0,0,[],[]
car1,74,7.4,"(None, None)",63.12605801279745,-60.0,,0,0,[],[]
car1,75,7.5,"(None, None)",64.42936488291907,-59.0,,0,0,[],[]
car1,76,7.6,"(None, None)",65.7326717530407,-59.0,,0,0,[],[]
car1,77,7.7,"(None, None)",67.03597862316234,-58.0,,0,0,[],[]
car1,78,7.8,"(None, None)",68.33928549328397,-58.0,,0,0,[],[]
car1,79,7.9,"(None, None)",69.64259236340558,-57.0,,0,0,[],[]
car1,80,8.0,"(None, None)",70.94589923352721,-57.0,,0,0,[],[]
car1,81,8.1,"(None, None)",72.24920610364885,-56.0,,0,0,[],[]
car1,82,8.2,"(None, None)",73.55251297377046,-56.0,,0,0,[],[]
car1,83,8.3,"(None, None)",74.85581984389209,-56.0,,0,0,[],[]
car1,84,8.4,"(None, None)",76.15912671401372,-55.0,,1,557,"[""b'03:18:10.865264 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...oZ@.@.Ea.........t#...~D{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 1, 'generated_time': 8.4}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [81.15912671401372, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,85,8.5,"(None, None)",77.46243358413535,-55.0,,1,557,"[""b'03:18:10.926862 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o^@.@.E].........t#...oI{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 2, 'generated_time': 8.5}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [82.46243358413535, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,86,8.6,"(None, None)",78.76574045425699,-54.0,,1,557,"[""b'03:18:11.026652 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...ov@.@.EE.........t#...k9{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 3, 'generated_time': 8.6}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [83.76574045425699, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,87,8.7,"(None, None)",80.06904732437862,-54.0,,1,557,"[""b'03:18:11.126744 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o.@.@.E:.........t#...q;{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 4, 'generated_time': 8.7}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [85.06904732437862, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,88,8.8,"(None, None)",81.37235419450025,-53.0,,1,557,"[""b'03:18:11.226943 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o.@.@.E,.........t#...kI{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 5, 'generated_time': 8.8}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [86.37235419450025, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,89,8.9,"(None, None)",82.67566106462188,-53.0,,1,557,"[""b'03:18:11.327173 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o.@.@.E .........t#...h9{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 6, 'generated_time': 8.9}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [87.67566106462188, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,90,9.0,"(None, None)",83.97896793474351,-53.0,,1,557,"[""b'03:18:11.426353 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o.@.@.E..........t#...n){'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 7, 'generated_time': 9.0}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [88.97896793474351, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,91,9.1,"(None, None)",85.28227480486514,-52.0,,1,557,"[""b'03:18:11.527376 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o.@.@.E..........t#...r?{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 8, 'generated_time': 9.1}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [90.28227480486514, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,92,9.2,"(None, None)",86.58558167498677,-52.0,,1,557,"[""b'03:18:11.626587 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o.@.@.E..........t#...e0{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 9, 'generated_time': 9.2}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [91.58558167498677, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,93,9.3,"(None, None)",87.8888885451084,-52.0,,1,557,"[""b'03:18:11.726875 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 453\\nE...o.@.@.E..........t#.....{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 10, 'generated_time': 9.3}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [92.8888885451084, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,94,9.4,"(None, None)",89.19219541523003,-51.0,,1,558,"[""b'03:18:11.826078 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 454\\nE...o.@.@.D..........t#.....{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 11, 'generated_time': 9.4}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [94.19219541523003, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
car1,95,9.5,"(None, None)",90.49550228535166,-51.0,,1,558,"[""b'03:18:11.926628 IP 192.168.1.1.41844 > 192.168.1.255.9090: UDP, length 454\\nE...o.@.@.D..........t#.....{'header': {'from_car_id': 'car1', 'proto_type': 'DENM', 'proto_version': 0, 'message_id': 12, 'generated_time': 9.5}, 'body': {'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': false}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [95.49550228535166, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': [0, 0, 0]}}}\\n'""]",[]
