CAR,STEP,TIME,LEADER_AND_DISTANCE,DRIVING_DISTANCE,WIFI_SIGNAL_STRENGTH,MESH_SIGNAL_STRENGTH,DATAGRAM_COUNT,BYTES_COUNT,WIFI_DATAGRAM,MESH_DATAGRAM
car2,1,0.1,"(None, None)",None,-60,,1,450,[],"[""b'15:21:18.430365 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 450\\nE....X@.@..d..........#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 2, 'generated_time': 0.1}, 'body': {'station_id': 0.7257621814921111, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,2,0.2,"(None, None)",None,-60,,1,451,[],"[""b'15:21:18.454452 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 451\\nE....\\\\@.@.._..........#...K${'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 4, 'generated_time': 0.2}, 'body': {'station_id': 0.21242777817560043, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,3,0.3,"(None, None)",None,-60,,2,876,[],"[""b'15:21:18.542879 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 450\\nE....e@.@..W..........#.....{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 6, 'generated_time': 0.3}, 'body': {'station_id': 0.5576869240335375, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:18.545836 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 426\\nE.....@.@..K..........#...j.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 5, 'generated_time': 0.3}, 'body': {'station_id': 0.9661477295730331, 'leader': null, 'speed': 0.52, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.177999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,4,0.4,"(None, None)",None,-60,,2,878,[],"[""b'15:21:18.642545 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 451\\nE....l@.@..O..........#...G.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 8, 'generated_time': 0.4}, 'body': {'station_id': 0.34100872964357365, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:18.645723 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 427\\nE.....@.@..A..........#....k{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 7, 'generated_time': 0.4}, 'body': {'station_id': 0.10366075209503767, 'leader': null, 'speed': 0.78, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.255999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,5,0.5,"(None, None)",None,-60,,2,877,[],"[""b'15:21:18.742856 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 451\\nE.....@.@..7..........#...>.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 10, 'generated_time': 0.5}, 'body': {'station_id': 0.9982876453216697, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:18.745745 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 426\\nE.....@.@..1..........#...p.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 9, 'generated_time': 0.5}, 'body': {'station_id': 0.7508337527302851, 'leader': null, 'speed': 1.04, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.359999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,6,0.6,"(None, None)",None,-60,,2,878,[],"[""b'15:21:18.843654 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 451\\nE.....@.@.............#...A${'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 12, 'generated_time': 0.6}, 'body': {'station_id': 0.3142525914939529, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:18.846321 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 427\\nE.....@.@..,..........#....>{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 11, 'generated_time': 0.6}, 'body': {'station_id': 0.45134411491903403, 'leader': null, 'speed': 1.3, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.489999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,7,0.7,"(None, None)",None,-60,,2,880,[],"[""b'15:21:18.943023 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 452\\nE.....@.@.............#...m.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 14, 'generated_time': 0.7}, 'body': {'station_id': 0.25856558670813434, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:18.946157 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 428\\nE.....@.@.............#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 13, 'generated_time': 0.7}, 'body': {'station_id': 0.08422326870158425, 'leader': null, 'speed': 1.56, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.645999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,8,0.8,"(None, None)",None,-60,,2,880,[],"[""b'15:21:19.045013 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 452\\nE.....@.@.............#...v.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 16, 'generated_time': 0.8}, 'body': {'station_id': 0.11989784405547921, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:19.048145 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 428\\nE.....@.@.............#...,.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 15, 'generated_time': 0.8}, 'body': {'station_id': 0.06832792449810587, 'leader': null, 'speed': 1.82, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.827999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,9,0.9,"(None, None)",None,-60,,2,866,[],"[""b'15:21:19.144201 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 451\\nE.....@.@.............#...@.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 18, 'generated_time': 0.9}, 'body': {'station_id': 0.9182262750276793, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:19.146832 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 415\\nE.....@.@.............#...8.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 17, 'generated_time': 0.9}, 'body': {'station_id': 0.2929421243861371, 'leader': null, 'speed': 2.08, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.036, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car2,10,1.0,"(None, None)",None,-60,,2,865,[],"[""b'15:21:19.243393 IP 192.168.0.2.37868 > 192.168.0.255.9090: UDP, length 451\\nE.....@.@.............#...;#{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 20, 'generated_time': 1.0}, 'body': {'station_id': 0.3864978420385955, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'15:21:19.246339 IP 192.168.0.1.42406 > 192.168.0.255.9090: UDP, length 414\\nE.....@.@.............#....2{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 19, 'generated_time': 1.0}, 'body': {'station_id': 0.9780794833915599, 'leader': null, 'speed': 2.34, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.27, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
