STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
1;0.1s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
1;0.1s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
2;0.2s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
2;0.2s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
3;0.3s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
3;0.3s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
4;0.4s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
4;0.4s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
5;0.5s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
5;0.5s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
6;0.6s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
6;0.6s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
7;0.7s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
7;0.7s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
8;0.8s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
8;0.8s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
9;0.9s;car1;No leader;No leader;Not initialised;[];-77.0@car1-wlan1
9;0.9s;car2;No leader;No leader;Not initialised;[];-77.0@car2-wlan1
