STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCP_DUMP_MSGS;SIGNAL_STRENGTH
6;0.6s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
6;0.6s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
7;0.7s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
7;0.7s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
8;0.8s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
8;0.8s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
9;0.9s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
9;0.9s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
10;1.0s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
10;1.0s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
11;1.1s;car1;No leader;No leader;Not initialised;[];-60@car1-wlan1
11;1.1s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
12;1.2s;car1;No leader;No leader;0.026000000000000023;[];-60@car1-wlan1
12;1.2s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
13;1.3s;car1;No leader;No leader;0.07800000000000007;[];-60@car1-wlan1
13;1.3s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
14;1.4s;car1;No leader;No leader;0.15600000000000014;[b'21:04:42.109908 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n'];-60@car1-wlan1
14;1.4s;car2;No leader;No leader;Not initialised;[b'21:04:42.109924 IP6 fe80::ff:fe00:600 > ip6-allrouters: ICMP6, router solicitation, length 16\n', b'`.....:...................................o.............\n'];-60@car2-wlan1
15;1.5s;car1;No leader;No leader;0.26000000000000023;[];-60@car1-wlan1
15;1.5s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
16;1.6s;car1;No leader;No leader;0.3900000000000001;[];-60@car1-wlan1
16;1.6s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
17;1.7s;car1;No leader;No leader;0.5460000000000003;[];-60@car1-wlan1
17;1.7s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
18;1.8s;car1;No leader;No leader;0.7280000000000002;[];-60@car1-wlan1
18;1.8s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
19;1.9s;car1;No leader;No leader;0.9360000000000002;[];-60@car1-wlan1
19;1.9s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
20;2.0s;car1;No leader;No leader;1.17;[];-60@car1-wlan1
20;2.0s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
21;2.1s;car1;No leader;No leader;1.4299999999999997;[];-60@car1-wlan1
21;2.1s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
22;2.2s;car1;No leader;No leader;1.7159999999999997;[];-60@car1-wlan1
22;2.2s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
23;2.3s;car1;No leader;No leader;2.0279999999999996;[];-60@car1-wlan1
23;2.3s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
24;2.4s;car1;No leader;No leader;2.3659999999999997;[];-60@car1-wlan1
24;2.4s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
25;2.5s;car1;No leader;No leader;2.7299999999999995;[];-60@car1-wlan1
25;2.5s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
26;2.6s;car1;No leader;No leader;3.119999999999999;[];-60@car1-wlan1
26;2.6s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
27;2.7s;car1;No leader;No leader;3.5359999999999987;[];-60@car1-wlan1
27;2.7s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
28;2.8s;car1;No leader;No leader;3.977999999999999;[];-60@car1-wlan1
28;2.8s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
29;2.9s;car1;No leader;No leader;4.445999999999999;[];-60@car1-wlan1
29;2.9s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
30;3.0s;car1;No leader;No leader;4.939999999999999;[];-60@car1-wlan1
30;3.0s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
31;3.1s;car1;No leader;No leader;5.459999999999998;[];-60@car1-wlan1
31;3.1s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
32;3.2s;car1;No leader;No leader;6.005999999999998;[];-60@car1-wlan1
32;3.2s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
33;3.3s;car1;No leader;No leader;6.577999999999998;[];-60@car1-wlan1
33;3.3s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
34;3.4s;car1;No leader;No leader;7.175999999999997;[];-60@car1-wlan1
34;3.4s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
35;3.5s;car1;No leader;No leader;7.799999999999997;[];-60@car1-wlan1
35;3.5s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
36;3.6s;car1;No leader;No leader;8.449999999999998;[];-60@car1-wlan1
36;3.6s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
37;3.7s;car1;No leader;No leader;9.125999999999998;[];-60@car1-wlan1
37;3.7s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
38;3.8s;car1;No leader;No leader;9.827999999999998;[];-60@car1-wlan1
38;3.8s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
39;3.9s;car1;No leader;No leader;10.555999999999997;[];-60@car1-wlan1
39;3.9s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
40;4.0s;car1;No leader;No leader;11.309999999999997;[];-60@car1-wlan1
40;4.0s;car2;No leader;No leader;Not initialised;[];-60@car2-wlan1
41;4.1s;car1;No leader;No leader;12.089999999999996;[];-60@car1-wlan1
41;4.1s;car2;car1;0.48999999999999666;Not initialised;[];-60@car2-wlan1
42;4.2s;car1;No leader;No leader;12.895999999999995;[];-60@car1-wlan1
42;4.2s;car2;car1;1.269999999999996;0.0259999999999998;[];-60@car2-wlan1
43;4.3s;car1;No leader;No leader;13.727999999999994;[];-60@car1-wlan1
43;4.3s;car2;car1;2.0499999999999954;0.0779999999999994;[];-60@car2-wlan1
44;4.4s;car1;No leader;No leader;14.585999999999993;[];-60@car1-wlan1
44;4.4s;car2;car1;2.829999999999994;0.1559999999999997;[];-60@car2-wlan1
45;4.5s;car1;No leader;No leader;15.469999999999992;[];-60@car1-wlan1
45;4.5s;car2;car1;3.6099999999999923;0.2599999999999998;[];-60@car2-wlan1
46;4.6s;car1;No leader;No leader;16.379999999999992;[];-60@car1-wlan1
46;4.6s;car2;car1;4.389999999999993;0.3899999999999997;[];-60@car2-wlan1
47;4.7s;car1;No leader;No leader;17.315999999999992;[];-60@car1-wlan1
47;4.7s;car2;car1;5.169999999999993;0.5459999999999994;[];-60@car2-wlan1
48;4.8s;car1;No leader;No leader;18.27799999999999;[];-60@car1-wlan1
48;4.8s;car2;car1;5.949999999999992;0.7279999999999998;[];-60@car2-wlan1
49;4.9s;car1;No leader;No leader;19.26599999999999;[];-60@car1-wlan1
49;4.9s;car2;car1;6.7299999999999915;0.9359999999999999;[];-60@car2-wlan1
50;5.0s;car1;No leader;No leader;20.27999999999999;[];-60@car1-wlan1
50;5.0s;car2;car1;7.509999999999991;1.17;[];-60@car2-wlan1
51;5.1s;car1;No leader;No leader;21.31999999999999;[];-60@car1-wlan1
51;5.1s;car2;car1;8.28999999999999;1.4299999999999997;[];-60@car2-wlan1
52;5.2s;car1;No leader;No leader;22.38599999999999;[];-60@car1-wlan1
52;5.2s;car2;car1;9.06999999999999;1.7159999999999993;[];-60@car2-wlan1
53;5.3s;car1;obs;69.22200000000001;23.477999999999987;[];-60@car1-wlan1
53;5.3s;car2;car1;9.849999999999987;2.0279999999999996;[];-60@car2-wlan1
54;5.4s;car1;obs;68.10400000000001;24.595999999999986;[];-60@car1-wlan1
54;5.4s;car2;car1;10.629999999999987;2.3659999999999997;[];-60@car2-wlan1
55;5.5s;car1;obs;66.96000000000002;25.739999999999984;[];-60@car1-wlan1
55;5.5s;car2;car1;11.409999999999986;2.7299999999999995;[];-60@car2-wlan1
56;5.6s;car1;obs;65.79000000000002;26.909999999999982;[];-60@car1-wlan1
56;5.6s;car2;car1;12.189999999999984;3.119999999999999;[];-60@car2-wlan1
57;5.7s;car1;obs;64.59400000000002;28.10599999999998;[];-60@car1-wlan1
57;5.7s;car2;car1;12.969999999999981;3.5359999999999996;[];-60@car2-wlan1
58;5.8s;car1;obs;63.37200000000003;29.327999999999978;[];-60@car1-wlan1
58;5.8s;car2;car1;13.749999999999979;3.9779999999999998;[];-60@car2-wlan1
