STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;TCPDUMP_MSG;SIGNAL_RANGE
1;0.1s;car;No leader;No leader;Not initialised;[];48.61501904177178
2;0.2s;car;No leader;No leader;0.0259999999999998;[];48.61501904177178
3;0.3s;car;No leader;No leader;0.0779999999999994;[];48.61501904177178
4;0.4s;car;No leader;No leader;0.1559999999999997;[];48.61501904177178
5;0.5s;car;No leader;No leader;0.2599999999999998;[];48.61501904177178
6;0.6s;car;No leader;No leader;0.3899999999999997;[];48.61501904177178
7;0.7s;car;No leader;No leader;0.5459999999999994;[];48.61501904177178
8;0.8s;car;No leader;No leader;0.7279999999999998;[];48.61501904177178
9;0.9s;car;No leader;No leader;0.9359999999999999;[];48.61501904177178
10;1.0s;car;No leader;No leader;1.17;[];48.61501904177178
11;1.1s;car;No leader;No leader;1.4299999999999997;[];48.61501904177178
12;1.2s;car;No leader;No leader;1.7159999999999993;[];48.61501904177178
13;1.3s;car;No leader;No leader;2.0279999999999996;[];48.61501904177178
14;1.4s;car;No leader;No leader;2.3659999999999997;[];48.61501904177178
15;1.5s;car;No leader;No leader;2.7299999999999995;[];48.61501904177178
16;1.6s;car;No leader;No leader;3.119999999999999;[];48.61501904177178
17;1.7s;car;No leader;No leader;3.5359999999999996;[];48.61501904177178
18;1.8s;car;No leader;No leader;3.9779999999999998;[];48.61501904177178
19;1.9s;car;No leader;No leader;4.446;[];48.61501904177178
20;2.0s;car;No leader;No leader;4.9399999999999995;[];48.61501904177178
21;2.1s;car;No leader;No leader;5.459999999999999;[];48.61501904177178
22;2.2s;car;No leader;No leader;6.0059999999999985;[];48.61501904177178
23;2.3s;car;No leader;No leader;6.577999999999998;[];48.61501904177178
24;2.4s;car;No leader;No leader;7.175999999999997;[];48.61501904177178
25;2.5s;car;No leader;No leader;7.799999999999995;[];48.61501904177178
26;2.6s;car;No leader;No leader;8.449999999999996;[];48.61501904177178
27;2.7s;car;No leader;No leader;9.125999999999996;[];48.61501904177178
28;2.8s;car;No leader;No leader;9.827999999999996;[];48.61501904177178
29;2.9s;car;No leader;No leader;10.555999999999996;[];48.61501904177178
30;3.0s;car;No leader;No leader;11.309999999999997;[];48.61501904177178
31;3.1s;car;No leader;No leader;12.089999999999998;[];48.61501904177178
32;3.2s;car;No leader;No leader;12.895999999999999;[];48.61501904177178
33;3.3s;car;No leader;No leader;13.728;[];48.61501904177178
34;3.4s;car;No leader;No leader;14.586;[];48.61501904177178
35;3.5s;car;No leader;No leader;15.47;[];48.61501904177178
36;3.6s;car;No leader;No leader;16.380000000000003;[];48.61501904177178
37;3.7s;car;No leader;No leader;17.316000000000003;[];48.61501904177178
38;3.8s;car;No leader;No leader;18.278;[];48.61501904177178
39;3.9s;car;No leader;No leader;19.266;[];48.61501904177178
40;4.0s;car;No leader;No leader;20.28;[];48.61501904177178
41;4.1s;car;No leader;No leader;21.32;[];48.61501904177178
42;4.2s;car;No leader;No leader;22.385999999999996;[];48.61501904177178
43;4.3s;car;No leader;No leader;23.477999999999994;[];48.61501904177178
44;4.4s;car;No leader;No leader;24.595999999999997;[];48.61501904177178
45;4.5s;car;No leader;No leader;25.739999999999995;[];48.61501904177178
46;4.6s;car;No leader;No leader;26.90999999999999;[];48.61501904177178
47;4.7s;car;No leader;No leader;28.105999999999987;[];48.61501904177178
48;4.8s;car;No leader;No leader;29.32799999999999;[];48.61501904177178
49;4.9s;car;No leader;No leader;30.575999999999986;[];48.61501904177178
50;5.0s;car;No leader;No leader;31.849999999999987;[];48.61501904177178
51;5.1s;car;No leader;No leader;33.149999999999984;[];48.61501904177178
52;5.2s;car;No leader;No leader;34.475999999999985;[];48.61501904177178
53;5.3s;car;No leader;No leader;35.82799999999998;[];48.61501904177178
54;5.4s;car;No leader;No leader;37.20599999999998;[];48.61501904177178
55;5.5s;car;No leader;No leader;38.60999999999998;[];48.61501904177178
56;5.6s;car;No leader;No leader;40.03999999999998;[];48.61501904177178
57;5.7s;car;No leader;No leader;41.495999999999974;[];48.61501904177178
58;5.8s;car;No leader;No leader;42.968308707316;[];48.61501904177178
59;5.9s;car;No leader;No leader;44.44061741463202;[];48.61501904177178
60;6.0s;car;No leader;No leader;45.91292612194805;[];48.61501904177178
61;6.1s;car;No leader;No leader;47.38523482926407;[];48.61501904177178
62;6.2s;car;No leader;No leader;48.857543536580096;[];48.61501904177178
63;6.3s;car;No leader;No leader;50.32985224389612;[];48.61501904177178
64;6.4s;car;No leader;No leader;51.802160951212144;[];48.61501904177178
65;6.5s;car;No leader;No leader;53.27446965852817;[];48.61501904177178
66;6.6s;car;No leader;No leader;54.74677836584419;[];48.61501904177178
67;6.7s;car;No leader;No leader;56.174087073160216;[];48.61501904177178
68;6.8s;car;No leader;No leader;57.55639578047624;[];48.61501904177178
69;6.9s;car;No leader;No leader;58.893704487792256;[];48.61501904177178
70;7.0s;car;No leader;No leader;60.18601319510828;[];48.61501904177178
71;7.1s;car;No leader;No leader;61.433321902424304;[];48.61501904177178
72;7.2s;car;No leader;No leader;62.635630609740325;[];48.61501904177178
73;7.3s;car;No leader;No leader;63.792939317056344;[];48.61501904177178
74;7.4s;car;No leader;No leader;64.90524802437237;[];48.61501904177178
75;7.5s;car;No leader;No leader;65.97255673168839;[];48.61501904177178
